category,table_index,MCS,CBS_num_info_bits,sigmoid_center_db,sigmoid_scale_db,fit_loss
PDSCH,2,8,100,6.527595424885045,0.522812126044504,0.0004978126525321
PDSCH,2,9,100,7.641570804990738,0.5664983480593815,0.0004917068839968
PDSCH,2,10,100,8.362849554955472,0.5232902240167445,0.0004959932937721
PDSCH,2,11,100,9.292050272863504,0.5686489066332633,0.00049895041631
PDSCH,2,12,100,10.13784412047382,0.5632805564916725,0.0004951017447529
PDSCH,2,13,100,11.04532765974458,0.5861575580828422,0.000499387272664
PDSCH,2,14,100,12.202223602539028,0.5745324123552769,0.0004965022810733
PDSCH,2,15,100,13.107673602662576,0.614030766527558,0.00049967345391
PDSCH,2,16,100,14.129063616817897,0.6215234440291565,0.0007397527933785
PDSCH,2,17,100,14.86756331359856,0.6802306332066232,0.0007707493481506
PDSCH,2,18,100,16.415368720218233,0.6776106230347895,0.0007330780136091
PDSCH,2,19,100,17.24533798526633,0.7061347919589563,0.0017953562944652
PDSCH,2,20,100,18.09932988601618,0.6916823273600549,0.0005268645920146
PDSCH,2,21,100,18.13613196070029,0.6708644214486373,0.0004947065501865
PDSCH,2,22,100,20.01989996632237,0.656919371208929,0.0005293975884636
PDSCH,2,23,100,20.040039520898137,0.684900799463768,0.0004970642641124
PDSCH,2,24,100,21.321572496887462,0.7145640388739325,0.000495437338677
PDSCH,2,25,100,22.63673312970336,0.7968581864677143,0.0014917962668847
PDSCH,2,26,100,24.61542098299398,0.8454588719327663,0.0005787213744035
PDSCH,2,27,100,24.62726494287755,0.907778592238432,0.0006774288859095
PUSCH,1,3,100,-2.96615939164432,0.5004627787709772,0.0004997625679115
PUSCH,1,4,100,-1.8764379324207925,0.4904931061801414,0.0004928425210786
PUSCH,1,5,100,-0.9006814073681184,0.4735171550285242,0.0004957237664175
PUSCH,1,6,100,0.1163226006706019,0.4983265330065488,0.0004962179986141
PUSCH,1,7,100,1.009134485314081,0.4567312349005157,0.0004914067622453
PUSCH,1,8,100,2.0384179548412207,0.4717740534561639,0.0004944253632656
PUSCH,1,9,100,2.814406162306789,0.4455972547228083,0.0004986614085328
PUSCH,1,10,100,3.812622169669949,0.0712949083549206,0.0164739991614388
PUSCH,1,11,100,3.783791397189584,0.5206311000273739,0.0004915619227511
PUSCH,1,12,100,5.596192446366603,0.0703688061273606,0.0196017737580102
PUSCH,1,13,100,5.637481148717122,0.558350974626541,0.0004957838995223
PUSCH,1,14,100,7.384354541114285,0.071427142250954,0.0220067711558123
PUSCH,1,15,100,7.631543995230468,0.5584845828337213,0.0004998790926215
PUSCH,1,16,100,8.304999755033077,0.5300549064303798,0.0004897231426073
PUSCH,1,17,100,9.3202694362606,0.5862066226936746,0.0004936957227783
PUSCH,1,18,100,10.112724335494214,0.5629389780265417,0.0004968706396237
PUSCH,1,19,100,11.049457304141296,0.5406503943432388,0.0004998939396504
PUSCH,1,20,100,12.288469147588886,0.5859505131332904,0.0004940894389538
PUSCH,1,21,100,13.0964536281328,0.6092119350209495,0.0004993724892482
PUSCH,1,22,100,14.273632766711737,0.625973821431702,0.000491055391099
PUSCH,1,23,100,14.827045643507516,0.6606193334259512,0.0004995647359353
PUSCH,1,24,100,16.336229869542578,0.63460949840625,0.0008398913510372
PUSCH,1,25,100,17.28274378140073,0.7184593249300479,0.0004955616548519
PUSCH,1,26,100,18.34572775298341,0.7466431796711614,0.0022912365169251
PUSCH,1,27,100,18.31464721778169,0.7397206429800421,0.0023356732841379
PUSCH,2,9,100,-2.927867749281135,0.493776434987545,0.0004911133723419
